ID		PT-BR NAME			EN NAME

0		Restos de anões			Dwarf remains
1		Kit de ferramentas			Toolkit
2		Bala de canhão			Cannonball
3		Notas de Nulodion			Nulodion's notes
4		Molde de munição			Ammo mould
5		Manual de instrução			Instruction manual
6		Base do canhão			Cannon base
8		Suporte do canhão			Cannon stand
10		Canos de canhão			Cannon barrels
12		Fornalha de canhão			Cannon furnace
14		Grades			Railing
15		Guardanapo sagrado			Holy table napkin
16		Apito mágico			Magic whistle
17		Sino do Graal			Grail bell
18		Pena dourada mágica			Magic gold feather
19		Santo Graal			Holy grail
20		Engrenagem branca			White cog
21		Engrenagem preta			Black cog
22		Engrenagem azul			Blue cog
23		Engrenagem vermelha			Red cog
24		Raticida			Rat poison
25		Verme de vinha vermelha			Red vine worm
26		Troféu de pesca			Fishing trophy
27		Passe para a pescaria			Fishing pass
28		Repelente de insetos			Insect repellent
29		Caixa do fogo			Tinderbox
30		Balde de cera			Bucket of wax
31		Caixa do fogo			Tinderbox
32		Vela preta (acesa)			Black candle (lit)
33		Vela branca (acesa)			White candle (lit)
34		Vela acesa			Lit candle
35		Excalibur			Excalibur
36		Vela branca			White candle
38		Vela preta			Black candle
39		Pontas de flecha de bronze			Bronze arrowheads
40		Pontas de flecha de ferro			Iron arrowheads
41		Pontas de flecha de aço			Steel arrowheads
42		Pontas de flecha de mithril			Mithril arrowheads
43		Pontas flecha de adamantio			Adamant arrowheads
44		Pontas de flecha rúnicas			Rune arrowheads
45		Pontas de seta de opala			Opal bolt tips
46		Pontas de seta de pérola			Pearl bolt tips
47		Pontas de seta de farpa			Barb bolttips
48		Arco-escudo (-c)			Shieldbow (u)
50		Arco curto (-c)			Shortbow (u)
52		Haste de flecha			Arrow shaft
53		Flecha sem ponta			Headless arrow
54		Arco curto de carvalho (-c)			Oak shortbow (u)
56		Arco-escudo carvalho (-c)			Oak shieldbow (u)
58		Arco-escudo salgueiro (-c)			Willow shieldbow (u)
60		Arco curto de salgueiro (-c)			Willow shortbow (u)
62		Arco-escudo de bordo (-c)			Maple shieldbow (u)
64		Arco curto de bordo (-c)			Maple shortbow (u)
66		Arco-escudo teixo (-c)			Yew shieldbow (u)
68		Arco curto de teixo (-c)			Yew shortbow (u)
70		Arco-escudo mágico (-c)			Magic shieldbow (u)
72		Arco curto mágico (-c)			Magic shortbow (u)
74		Elmo Khazard			Khazard helmet
75		Armadura de Khazard			Khazard armour
76		Chaves da cela de Khazard			Khazard cell keys
77		Garapa de Khali			Khali brew
78		Flechas de gelo			Ice arrows
83		Alavanca			Lever
84		Cajado de Armadyl			Staff of Armadyl
85		Chave brilhante			Shiny key
86		Pingente de Lucien			Pendant of Lucien
87		Pingente de Armadyl			Armadyl pendant
88		Botas de leveza			Boots of lightness
89		Botas de leveza			Boots of lightness
90		Cobertor de criança			Child's blanket
91		Poção de guam (inc)			Guam potion (unf)
93		Poção de marrentil (inc)			Marrentill potion (unf)
95		Poção de tarromin (inc)			Tarromin potion (unf)
97		Poção de harralander (inc)			Harralander potion (unf)
99		Poção de ranarr (inc)			Ranarr potion (unf)
101		Poção de irita (inc)			Irit potion (unf)
103		Poção de avantoé (inc)			Avantoe potion (unf)
105		Poção de kwuarm (inc)			Kwuarm potion (unf)
107		Poção de cadantina (inc)			Cadantine potion (unf)
109		Poção de erva dos anões (inc)			Dwarf weed potion (unf)
111		Poção de torstol (inc)			Torstol potion (unf)
113		Poção da força (4)			Strength potion (4)
115		Poção da força (3)			Strength potion (3)
117		Poção da força (2)			Strength potion (2)
119		Poção da força (1)			Strength potion (1)
121		Poção do ataque (3)			Attack potion (3)
123		Poção do ataque (2)			Attack potion (2)
125		Poção do ataque (1)			Attack potion (1)
127		Poção restauradora (3)			Restore potion (3)
129		Poção restauradora (2)			Restore potion (2)
131		Poção restauradora (1)			Restore potion (1)
133		Poção da defesa (3)			Defence potion (3)
135		Poção da defesa (2)			Defence potion (2)
137		Poção da defesa (1)			Defence potion (1)
139		Poção do devoto (3)			Prayer potion (3)
141		Poção do devoto (2)			Prayer potion (2)
143		Poção do devoto (1)			Prayer potion (1)
145		Superataque (3)			Super attack (3)
147		Superataque (2)			Super attack (2)
149		Superataque (1)			Super attack (1)
151		Poção do pescador (3)			Fishing potion (3)
153		Poção do pescador (2)			Fishing potion (2)
155		Poção do pescador (1)			Fishing potion (1)
157		Superforça (3)			Super strength (3)
159		Superforça (2)			Super strength (2)
161		Superforça (1)			Super strength (1)
163		Superdefesa (3)			Super defence (3)
165		Superdefesa (2)			Super defence (2)
167		Superdefesa (1)			Super defence (1)
169		Poção do superarqueiro (3)			Super ranging potion (3)
171		Poção do superarqueiro (2)			Super ranging potion (2)
173		Poção do superarqueiro (1)			Super ranging potion (1)
175		Antiveneno (3)			Antipoison (3)
177		Antiveneno (2)			Antipoison (2)
179		Antiveneno (1)			Antipoison (1)
181		Super antiveneno (3)			Super antipoison (3)
183		Super antiveneno (2)			Super antipoison (2)
185		Super antiveneno (1)			Super antipoison (1)
187		Veneno de arma			Weapon poison
189		Preparado de Zamorak (3)			Zamorak brew (3)
191		Preparado de Zamorak (2)			Zamorak brew (2)
193		Preparado de Zamorak (1)			Zamorak brew (1)
195		Poção da acne			Acne potion
197		Cálice de veneno			Poison chalice
199		Guam sujo			Grimy guam
201		Marrentil sujo			Grimy marrentill
203		Tarromin sujo			Grimy tarromin
205		Harralander sujo			Grimy harralander
207		Ranarr sujo			Grimy ranarr
209		Irita suja			Grimy irit
211		Avantoé sujo			Grimy avantoe
213		Kwuarm sujo			Grimy kwuarm
215		Cadantina suja			Grimy cadantine
217		Erva dos anões suja			Grimy dwarf weed
219		Torstol sujo			Grimy torstol
221		Olho de salamandra			Eye of newt
223		Ovos de aranha vermelha			Red spiders' eggs
225		Raiz de talsichão			Limpwurt root
227		Frasco de água			Vial of water
229		Frasco			Vial
231		Capim da cura			Snape grass
233		Pilão			Pestle and mortar
235		Pó de chifre de unicórnio			Unicorn horn dust
237		Chifre de unicórnio			Unicorn horn
239		Alvamoras			White berries
241		Pó de escama de dragão			Dragon scale dust
243		Escama de dragão azul			Blue dragon scale
245		Suco de uva de Zamorak			Wine of Zamorak
247		Jangoesas			Jangerberries
249		Guam limpo			Clean guam
251		Marrentil limpo			Clean marrentill
253		Tarromin limpo			Clean tarromin
255		Harralander limpo			Clean harralander
257		Ranarr limpa			Clean ranarr
259		Irita limpa			Clean irit
261		Avantoé limpo			Clean avantoe
263		Kwuarm limpo			Clean kwuarm
265		Cadantina limpa			Clean cadantine
267		Erva dos anões limpa			Clean dwarf weed
269		Torstol limpo			Clean torstol
271		Manômetro			Pressure gauge
272		Comida de peixe			Fish food
273		Veneno			Poison
274		Comida envenenada			Poisoned fish food
275		Chave suja			Grimy key
276		Tubo de borracha			Rubber tube
277		Lata de óleo			Oil can
278		Aguilhada			Cattleprod
279		Ração para ovelhas			Sheep feed
280		Ossos de ovelha (1)			Sheep bones (1)
281		Ossos de ovelha (2)			Sheep bones (2)
282		Ossos de ovelha (3)			Sheep bones (3)
283		Ossos de ovelha (4)			Sheep bones (4)
284		Jaqueta de praga			Plague jacket
285		Calças de praga			Plague trousers
286		Armadura de duende laranja			Orange goblin mail
287		Armadura de duende azul			Blue goblin mail
288		Armadura de duende			Goblin mail
290		Research package			Research package
291		Research notes			Research notes
292		Livro sobre Baxtorian			Book on Baxtorian
293		Uma chave			A key
294		Seixo de Glarial			Glarial's pebble
295		Amuleto de Glarial			Glarial's amulet
296		Urna de Glarial			Glarial's urn
297		Urna de Glarial			Glarial's urn
298		Uma chave			A key
299		Sementes de mithril			Mithril seeds
300		Rabo de rato			Rat's tail
301		Puçá de lagosta			Lobster pot
303		Rede de pesca pequena			Small fishing net
305		Rede de pesca grande			Big fishing net
307		Vara de pescar			Fishing rod
309		Vara com isca artificial			Fly fishing rod
311		Arpão			Harpoon
313		Iscas de pesca			Fishing bait
314		Pena			Feather
315		Camarões			Shrimps
317		Camarões crus			Raw shrimps
319		Anchovas			Anchovies
321		Anchovas cruas			Raw anchovies
323		Peixe queimado			Burnt fish
324		Burnt fish			Burnt fish
325		Sardinha			Sardine
327		Sardinha crua			Raw sardine
329		Salmão			Salmon
331		Salmão cru			Raw salmon
333		Truta			Trout
335		Truta crua			Raw trout
337		Carpa gigante			Giant carp
338		Carpa gigante crua			Raw giant carp
339		Bacalhau			Cod
341		Bacalhau cru			Raw cod
343		Peixe queimado			Burnt fish
344		Burnt fish			Burnt fish
345		Arenque cru			Raw herring
347		Arenque			Herring
349		Lúcio cru			Raw pike
351		Lúcio			Pike
353		Cavalinha crua			Raw mackerel
355		Cavalinha			Mackerel
357		Peixe queimado			Burnt fish
358		Burnt fish			Burnt fish
359		Atum cru			Raw tuna
361		Atum			Tuna
363		Garoupa crua			Raw bass
365		Garoupa			Bass
367		Peixe queimado			Burnt fish
368		Burnt fish			Burnt fish
369		Peixe queimado			Burnt fish
370		Burnt fish			Burnt fish
371		Peixe-espada cru			Raw swordfish
373		Peixe-espada			Swordfish
375		Peixe-espada queimado			Burnt swordfish
376		Burnt swordfish			Burnt swordfish
377		Lagosta crua			Raw lobster
379		Lagosta			Lobster
381		Lagosta queimada			Burnt lobster
382		Burnt lobster			Burnt lobster
383		Tubarão cru			Raw shark
385		Tubarão			Shark
387		Tubarão queimado			Burnt shark
388		Burnt shark			Burnt shark
389		Arraia jamanta crua			Raw manta ray
391		Arraia jamanta			Manta ray
393		Arraia jamanta queimada			Burnt manta ray
394		Burnt manta ray			Burnt manta ray
395		Tartaruga do mar crua			Raw sea turtle
397		Tartaruga do mar			Sea turtle
399		Tartaruga do mar queimada			Burnt sea turtle
400		Burnt sea turtle			Burnt sea turtle
401		Alga marinha			Seaweed
403		Algas comestíveis			Edible seaweed
405		Cofre			Casket
407		Ostra			Oyster
409		Ostra vazia			Empty oyster
411		Pérola de ostra			Oyster pearl
413		Pérolas de ostra			Oyster pearls
415		Etenea			Ethenea
416		Mel líquido			Liquid honey
417		Brolino sulfúrico			Sulphuric broline
418		Amostra da praga			Plague sample
419		Papel de fósforo			Touch paper
420		Destilador			Distillator
421		Amuleto de Lathas			Lathas' amulet
422		Comida para pássaro			Bird feed
423		Chave			Key
424		Jaula de pombo			Pigeon cage
425		Jaula de pombo			Pigeon cage
426		Roupa de padre			Priest gown
428		Roupa de padre			Priest gown
430		Avental de médico			Doctors' gown
431		Refresco de Karamja			Karamjan rum
432		Chave da arca			Chest key
